-0.586806,-0.641935,0
-0.170377,-0.731362,2
-0.786053,-0.391847,0
-0.623979,-0.318494,0
-0.550791,-0.0572238,2
-0.281426,-0.400698,2
-0.129335,-0.452848,2
-0.340304,-0.265846,2
-0.965577,-0.907065,0
-0.96173,-0.573247,0
-0.31554,-0.925397,2
2.9068,2.50363,1
2.82172,2.78758,1
2.58794,2.93297,1
2.34188,2.91204,1
2.47261,2.29494,1
2.01091,2.58598,1
2.53899,2.40469,1
2.88615,2.75595,1
2.37213,2.70607,1
2.48535,2.57384,1
2.03924,2.27409,1
2.14084,2.76647,1
2.90599,2.3736,1
2.10144,2.52766,1
2.712,2.54386,1
2.26398,2.95158,1
2.23428,2.52042,1
2.86594,2.39278,1
2.8429,2.11323,1
2.78416,2.47284,1
2.05859,2.60807,1
2.89637,4.14305,3
2.6687,4.38465,3
2.12632,4.5326,3
2.0188,4.6244,3
2.49617,4.43992,3
2.45165,4.25111,3
2.82798,4.77063,3
2.56823,4.93323,3
2.71389,4.18432,3
2.11088,4.68767,3
2.31814,4.57346,3
