-0.586806,-0.641935,0
-0.170377,-0.731362,1
-0.786053,-0.391847,2
-0.623979,-0.318494,3
-0.550791,-0.0572238,4
-0.281426,-0.400698,5
-0.129335,-0.452848,6
-0.340304,-0.265846,7
-0.965577,-0.907065,8
-0.96173,-0.573247,9
-0.31554,-0.925397,10
2.9068,2.50363,11
2.82172,2.78758,11
2.58794,2.93297,11
2.34188,2.91204,12
2.47261,2.29494,12
2.01091,2.58598,13
2.53899,2.40469,12
2.88615,2.75595,11
2.37213,2.70607,12
2.48535,2.57384,12
2.03924,2.27409,13
2.14084,2.76647,13
2.90599,2.3736,11
2.10144,2.52766,13
2.712,2.54386,12
2.26398,2.95158,13
2.23428,2.52042,13
2.86594,2.39278,11
2.8429,2.11323,11
2.78416,2.47284,11
2.05859,2.60807,13
2.89637,4.14305,11
2.6687,4.38465,11
2.12632,4.5326,11
2.0188,4.6244,11
2.49617,4.43992,11
2.45165,4.25111,13
2.82798,4.77063,11
2.56823,4.93323,11
2.71389,4.18432,11
2.11088,4.68767,11
2.31814,4.57346,11
